Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0B4-300 1 0.049521359199 0.684421987129 0.0686034204106 5.65269434182 -4.44294287842 0.0667980149413 0.0704088258799 0.0667979817659 0.0704088590552
L0B1-300 2 0.0658309944662 0.651934846088 0.0625792945419 5.83665155417 -4.04694291176 0.0601572735355 0.0650013155484 0.0601572290295 0.0650013600544
L0B5-300 2 0.0448182630181 0.720940898239 0.0653966048998 4.74997800402 -4.36765396381 0.0637176529899 0.0670755568098 0.0637176221382 0.0670755876615
L0B1-300 3 0.0643063479924 0.66624689464 0.0599627194613 5.34789902453 -3.96382403665 0.0575775723785 0.0623478665442 0.0575775285501 0.0623479103726
L0B5-300 3 0.0529090488599 0.723226935844 0.0747814223606 5.39329843131 -3.7848987487 0.0713471061779 0.0782157385434 0.0713470430704 0.0782158016509
L0B1-300 1 0.0643240816175 0.609481287597 0.0608209287919 5.92805370327 -3.66205360181 0.0567290386636 0.0649128189202 0.0567289634728 0.064912894111
L0B5-300 1 0.0431453592272 0.757846658285 0.0681749089555 5.10664368218 -4.08192383758 0.0658889121782 0.0704609057328 0.0658888701717 0.0704609477393
L0B2-300 2 0.0612209498593 0.678593758612 0.0718723948852 6.29552170459 -4.22135309233 0.069266957975 0.0744778317953 0.0692669100986 0.0744778796717
L1B1-300 2 0.0512085663254 0.581181458738 0.0792946597059 6.95484477581 -4.40155484692 0.076367776908 0.0822215425038 0.0763677231249 0.082221596287
L0B2-300 3 0.05707578663 0.671871151547 0.0694866537609 5.89333189863 -4.20413027368 0.0669362014322 0.0720371060896 0.0669361545662 0.0720371529557
L1B1-300 3 0.043799126609 0.577522687616 0.0615152521514 6.60826908711 -3.99981950195 0.0582401707509 0.0647903335518 0.0582401105694 0.0647903937333
L0B2-300 1 0.0670513801 0.6580211973 0.0750322215923 7.62918272707 -3.89419531044 0.0708877841213 0.0791766590634 0.0708877079649 0.0791767352198
L1B1-300 1 0.0536628747068 0.548312857269 0.0774065738976 7.63298363268 -4.94527977818 0.0756779638168 0.0791351839785 0.0756779320526 0.0791352157427
L0B3-300 2 0.0665360466072 0.682530081634 0.0769744023154 6.68328920662 -4.1998212228 0.0739489588956 0.0799998457352 0.0739489033013 0.0799999013295
L1B2-300 2 0.0473987285672 0.370321544022 0.0498898156151 9.21126831339 -3.82527783381 0.0453331114168 0.0544465198135 0.0453330276847 0.0544466035456
L0B3-300 3 0.0624914261945 0.691367820799 0.0743563862947 6.21551602258 -4.18734133806 0.071542397716 0.0771703748734 0.0715423460074 0.077170426582
L1B2-300 3 0.0465292891646 0.352470508655 0.0365853356336 8.68236256713 -3.88592651403 0.0334459758226 0.0397246954446 0.0334459181351 0.0397247531321
L0B3-300 1 0.0684684097378 0.687838613051 0.0867120191976 7.21980106739 -3.71290568287 0.0814635152326 0.0919605231625 0.0814634187883 0.0919606196068
L1B2-300 1 0.0435093163381 0.413542848392 0.0409918115302 9.56885650324 -4.07289942085 0.0382034860919 0.0437801369685 0.0382034348548 0.0437801882055
L0B4-300 2 0.0585015339158 0.715219907193 0.0897203281633 6.38811778961 -3.66059641312 0.084820597337 0.0946200589895 0.0848205073017 0.0946201490249
L0B4-300 3 0.0610796310075 0.678527082828 0.0874406940767 6.46763997505 -4.36519510926 0.0848958980144 0.0899854901391 0.0848958512523 0.0899855369011
